research_date,competitor,package,url,segment,horoscope,natal,compatibility,matrix,ai,rating,rating_count,review_count,installs,updated,screenshots,category,tags,top10_query_positions,aso_strength_0_100,positioning,strong_sides,weak_sides,review_signal,evidence_type,confidence,source,comment
2026-08-26,Arcai — ИИ Астролог,ru.arcai.app,https://www.rustore.ru/catalog/app/ru.arcai.app,AI-астролог / новый,yes,yes,yes,not_evidenced,yes,unknown,unknown,unknown,до 1 тыс,14 мая 2026,6,Образ жизни,Гороскопы; Самосовершенствование; Стиль жизни,ИИ астролог#1,70,"Arcai — это современное приложение для персональной астрологии с ИИ-астрологом, натальной картой, совместимостью и ежедневными прогнозами. Получайте персональные астрологические интерпретации, изучайте свою натальную ка","Exact-title лидер по «ИИ астролог»; в описании natal, compatibility и daily forecasts; 6 скриншотов.",Нет видимого рейтинга; до 1 тыс установок.,"Удивительно насколько точные предскрзания. Аффирмации озвучены очень приятным голосом. Буду пользоваться каждый день, потом дополню отзыв. Чувствуется работа неравнодушного профессионала. Ещё | Спасибо, Дмитрий, за столь высокую оценку! Ещё",EVIDENCE,HIGH for visible listing facts; MEDIUM for analysis,https://www.rustore.ru/catalog/app/ru.arcai.app | https://www.rustore.ru/catalog/search?query=%D0%98%D0%98+%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3,Position #1 доказывает силу точного title в слабой новой SERP.
2026-08-26,Гороскопы,ru.mail.horo.android,https://www.rustore.ru/catalog/app/ru.mail.horo.android,гороскоп / legacy-лидер,yes,not_evidenced,yes,not_evidenced,not_evidenced,"2,9",888,406,90 тыс +,17 мая 2022,6,Образ жизни,Гороскопы; Стиль жизни,гороскоп#3; гороскоп на сегодня#5; личный гороскоп#5; гороскоп на неделю#1,81,"Следите за предсказаниями каждый день! Проверяйте совместимость знаков, узнавайте гороскопы друзей, читайте астрологические статьи.",90 тыс+ установок и 888 оценок; сильная историческая известность; совместимость и статьи.,"2,9; обновление 17 мая 2022; отзывы сообщают, что данные не обновляются.","Постыдились бы такой фигнёй страдать Ещё | Данные не обновляются, с 2025 г. Ещё",EVIDENCE,HIGH for visible listing facts; MEDIUM for analysis,https://www.rustore.ru/catalog/app/ru.mail.horo.android | https://www.rustore.ru/catalog/search?query=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF | https://www.rustore.ru/catalog/search?query=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF+%D0%BD%D0%B0+%D1%81%D0%B5%D0%B3%D0%BE%D0%B4%D0%BD%D1%8F | https://www.rustore.ru/catalog/search?query=%D0%BB%D0%B8%D1%87%D0%BD%D1%8B%D0%B9+%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF | https://www.rustore.ru/catalog/search?query=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF+%D0%BD%D0%B0+%D0%BD%D0%B5%D0%B4%D0%B5%D0%BB%D1%8E,"Install-authority benchmark, но сильный semantic/product gap."
2026-08-26,Гороскоп,net.kosev.scoping,https://www.rustore.ru/catalog/app/net.kosev.scoping,гороскоп / монопродукт,yes,not_evidenced,yes,not_evidenced,not_evidenced,"4,7",52,5,3 тыс +,4 февр 2026,3,Образ жизни,Гороскопы; Стиль жизни,гороскоп#1; ежедневный гороскоп#7; гороскоп на неделю#3,82,"Получите доступ к своему гороскопу прямо с мобильного телефона или планшета. Приложение работает стабильно, не требует регистрации и не собирает ваши личные данные, что гарантирует полную конфиденциальность и безопасност","Exact head title; 4,7; 3 тыс+; не требует регистрации; простой privacy message.",Только 3 скриншота и базовое generic-позиционирование.,шикарно Ещё | Очень хорошее приложение просто не могу с него Ещё,EVIDENCE,HIGH for visible listing facts; MEDIUM for analysis,https://www.rustore.ru/catalog/app/net.kosev.scoping | https://www.rustore.ru/catalog/search?query=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF | https://www.rustore.ru/catalog/search?query=%D0%B5%D0%B6%D0%B5%D0%B4%D0%BD%D0%B5%D0%B2%D0%BD%D1%8B%D0%B9+%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF | https://www.rustore.ru/catalog/search?query=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF+%D0%BD%D0%B0+%D0%BD%D0%B5%D0%B4%D0%B5%D0%BB%D1%8E,Текущий №1 по «гороскоп».
2026-08-26,Гороскоп на каждый день: Астрология & Гороскопы,com.foresko.horoscopes,https://www.rustore.ru/catalog/app/com.foresko.horoscopes,ежедневный гороскоп / прямой,yes,yes,yes,not_evidenced,not_evidenced,"4,4",192,37,9 тыс +,26 авг 2025,4,Образ жизни,Гороскопы; Стиль жизни,гороскоп#7; гороскоп на месяц#3; астрология#7,78,"Представляем вам точный гороскоп на каждый день – превосходное приложение для тех, кто хочет узнать о том, что такое астрология и совместимость знаков зодиака. С нами вы сможете узнать гороскопы на 2023 год и свой астроп",9 тыс+; 192 оценки; keyword-rich title; ежедневный гороскоп и совместимость знаков.,"4,4; обновление 26 авг 2025; отзывы о невозможности загрузить приложение; описание упоминает 2023 год.",Не грузит приложение вообще Ещё | Не грузится ничего Ещё,EVIDENCE,HIGH for visible listing facts; MEDIUM for analysis,https://www.rustore.ru/catalog/app/com.foresko.horoscopes | https://www.rustore.ru/catalog/search?query=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF | https://www.rustore.ru/catalog/search?query=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF+%D0%BD%D0%B0+%D0%BC%D0%B5%D1%81%D1%8F%D1%86 | https://www.rustore.ru/catalog/search?query=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F,"Сильный масштаб, заметная stale/CVR уязвимость."
2026-08-26,Гороскоп на каждый день 2026. По дате рождения,ru.smartbear.programs.horoscopenew,https://www.rustore.ru/catalog/app/ru.smartbear.programs.horoscopenew,гороскоп по дате / прямой,yes,not_evidenced,yes,not_evidenced,not_evidenced,"4,7",18,6,10 тыс +,23 авг 2026,5,Образ жизни,Гороскопы; Стиль жизни,гороскоп#8; личный гороскоп#9; персональный гороскоп#4,83,"Гороскопы на каждый день Антарес (Antares) — персональный сборник гороскопов и актуальные статьи на русском языке! Бесплатное приложение содержит мудрые цитаты, гадания по руке, астрономия и астрология и точное оффлайн п","10 тыс+; 4,7; обновление 23 авг 2026; сильное year/date keyword coverage.",Только 18 оценок; в отзывах есть сбой после обновления; feature mix включает гадания.,"Свой гороскоп я смотрю каждый день, и довольна, все сходится. Оцениваю на 5+. Ещё | Обновил, ни черта не работает! 😠 Ещё",EVIDENCE,HIGH for visible listing facts; MEDIUM for analysis,https://www.rustore.ru/catalog/app/ru.smartbear.programs.horoscopenew | https://www.rustore.ru/catalog/search?query=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF | https://www.rustore.ru/catalog/search?query=%D0%BB%D0%B8%D1%87%D0%BD%D1%8B%D0%B9+%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF | https://www.rustore.ru/catalog/search?query=%D0%BF%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9+%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,Fresh install-scale benchmark.
2026-08-26,Персональный гороскоп,com.example.flutter_horoscope,https://www.rustore.ru/catalog/app/com.example.flutter_horoscope,персональный гороскоп / монопродукт,yes,not_evidenced,not_evidenced,not_evidenced,not_evidenced,"4,2",13,4,3 тыс +,8 мар 2026,5,Образ жизни,Гороскопы; Стиль жизни,личный гороскоп#1; персональный гороскоп#1,74,"Гороскоп - это предсказание или прогноз, основанный на знаке зодиака или позиции планет в момент рождения человека. Он предполагает, что позиция планет влияет на характер и судьбу человека. Гороскопы могут использоватьс",Exact personal title; 3 тыс+; лидер по личному и персональному гороскопу.,"4,2; описание в основном даёт общее определение гороскопа; отзыв о позднем обновлении контента.","Гороскоп хороший, коротко и ясно. Но можно его выкладывать пораньше, хотя бы на 2 часа. Ещё | Спасибо за отзыв, гороскоп приходит на английском где-то в 11:00 по мск, поэтому, к сожалению, от меня не зависит время обновление гороскопа Ещё",EVIDENCE,HIGH for visible listing facts; MEDIUM for analysis,https://www.rustore.ru/catalog/app/com.example.flutter_horoscope | https://www.rustore.ru/catalog/search?query=%D0%BB%D0%B8%D1%87%D0%BD%D1%8B%D0%B9+%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF | https://www.rustore.ru/catalog/search?query=%D0%BF%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9+%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,"Quick-win target, если MEOU докажет реальную персонализацию."
2026-08-26,Ежедневный гороскоп - Yufic,ru.yufic.horoscoperu,https://www.rustore.ru/catalog/app/ru.yufic.horoscoperu,ежедневный гороскоп / прямой,yes,not_evidenced,not_evidenced,not_evidenced,not_evidenced,"4,8",5,unknown,1 тыс +,27 окт 2024,3,Образ жизни,Обучающие; Гороскопы; Стиль жизни,ежедневный гороскоп#3,69,"Добро пожаловать в мир астрологии и предсказаний! Наше приложение ""Ежедневный Гороскоп"" создано специально для тех, кто хочет жить в гармонии с собой и окружающим миром. С его помощью вы получите доступ к разнообразным г","Exact daily title; 4,8; понятный ежедневный сценарий.",Всего 5 оценок; обновление 27 окт 2024; отзывы о рекламе и проблемах открытия.,"Добрый день.в последнее время не открывается ваше приложение.может обновление есть? Ещё | Гороскоп не плохой, но ОЧЕНЬ МНОГО РЕКЛАМЫ!!! 👹 Ещё",EVIDENCE,HIGH for visible listing facts; MEDIUM for analysis,https://www.rustore.ru/catalog/app/ru.yufic.horoscoperu | https://www.rustore.ru/catalog/search?query=%D0%B5%D0%B6%D0%B5%D0%B4%D0%BD%D0%B5%D0%B2%D0%BD%D1%8B%D0%B9+%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,Exact-title presence при слабом freshness/proof.
2026-08-26,Совместимость знаков зодиака,com.zodiak.app,https://www.rustore.ru/catalog/app/com.zodiak.app,совместимость знаков / монопродукт,not_evidenced,not_evidenced,yes,not_evidenced,not_evidenced,unknown,unknown,unknown,до 1 тыс,20 июн 2026,2,Образ жизни,,совместимость знаков зодиака#1,65,"Узнайте, насколько подходят друг другу два знака зодиака в любви, дружбе и работе. Приложение показывает процент совместимости и понятный разбор пары, а также рассказывает о характере каждого из 12 знаков: его стихии, пл",Exact title и №1 по «совместимость знаков зодиака»; свежая дата; простой pair use case.,Нет видимого рейтинга; до 1 тыс; только 2 скриншота; нет видимых тегов.,unknown,EVIDENCE,HIGH for visible listing facts; MEDIUM for analysis,https://www.rustore.ru/catalog/app/com.zodiak.app | https://www.rustore.ru/catalog/search?query=%D1%81%D0%BE%D0%B2%D0%BC%D0%B5%D1%81%D1%82%D0%B8%D0%BC%D0%BE%D1%81%D1%82%D1%8C+%D0%B7%D0%BD%D0%B0%D0%BA%D0%BE%D0%B2+%D0%B7%D0%BE%D0%B4%D0%B8%D0%B0%D0%BA%D0%B0,Явный quick-win SERP gap для более глубокого продукта.
2026-08-26,Совместимость. Астрология,com.xeen_software.compatibility,https://www.rustore.ru/catalog/app/com.xeen_software.compatibility,совместимость по дате / монопродукт,yes,not_evidenced,yes,not_evidenced,not_evidenced,unknown,unknown,unknown,до 1 тыс,26 сент 2025,3,Образ жизни,Гороскопы; Медитация; Самосовершенствование; Стиль жизни; Личные помощники,совместимость знаков зодиака#7; совместимость по дате рождения#1; астрология#10,68,"Узнайте свою совместимость, основанную на индивидуальных астрологических расчетах по дате рождения. Астрологическая совместимость - это не только совпадение знаков зодиака или восточного гороскопа, это точные математичес",№1 по «совместимость по дате рождения»; описание прямо заявляет индивидуальные расчёты.,Нет видимого рейтинга; до 1 тыс; 3 скриншота; обновление сентябрь 2025.,unknown,EVIDENCE,HIGH for visible listing facts; MEDIUM for analysis,https://www.rustore.ru/catalog/app/com.xeen_software.compatibility | https://www.rustore.ru/catalog/search?query=%D1%81%D0%BE%D0%B2%D0%BC%D0%B5%D1%81%D1%82%D0%B8%D0%BC%D0%BE%D1%81%D1%82%D1%8C+%D0%B7%D0%BD%D0%B0%D0%BA%D0%BE%D0%B2+%D0%B7%D0%BE%D0%B4%D0%B8%D0%B0%D0%BA%D0%B0 | https://www.rustore.ru/catalog/search?query=%D1%81%D0%BE%D0%B2%D0%BC%D0%B5%D1%81%D1%82%D0%B8%D0%BC%D0%BE%D1%81%D1%82%D1%8C+%D0%BF%D0%BE+%D0%B4%D0%B0%D1%82%D0%B5+%D1%80%D0%BE%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F | https://www.rustore.ru/catalog/search?query=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F,Точное intent matching при слабом social proof.
2026-08-26,"Совместимость по дате, дню, имени, зодиаку",ru.improg.love,https://www.rustore.ru/catalog/app/ru.improg.love,совместимость / смежный,not_evidenced,not_evidenced,yes,not_evidenced,not_evidenced,"4,6",12,6,1 тыс +,16 мая 2026,10,Образ жизни,Гороскопы; Самосовершенствование; Личные помощники,совместимость знаков зодиака#6; совместимость по дате рождения#2,76,Ищете ответы на вопросы о совместимости с любимым человеком? Хотите лучше понять партнёра и укрепить отношения? Это бесплатное приложение — ваш персональный проводник в мир взаимопонимания и гармонии! Что вы можете пров,"4,6; 10 скриншотов; покрывает дату, день, имя и зодиак.",Только 1 тыс+ и 12 оценок; не видно доказательства совместимости двух натальных карт.,Прикольно 😁 Ещё | Какое интересное приложение!)) Заманчиво) Ещё,EVIDENCE,HIGH for visible listing facts; MEDIUM for analysis,https://www.rustore.ru/catalog/app/ru.improg.love | https://www.rustore.ru/catalog/search?query=%D1%81%D0%BE%D0%B2%D0%BC%D0%B5%D1%81%D1%82%D0%B8%D0%BC%D0%BE%D1%81%D1%82%D1%8C+%D0%B7%D0%BD%D0%B0%D0%BA%D0%BE%D0%B2+%D0%B7%D0%BE%D0%B4%D0%B8%D0%B0%D0%BA%D0%B0 | https://www.rustore.ru/catalog/search?query=%D1%81%D0%BE%D0%B2%D0%BC%D0%B5%D1%81%D1%82%D0%B8%D0%BC%D0%BE%D1%81%D1%82%D1%8C+%D0%BF%D0%BE+%D0%B4%D0%B0%D1%82%D0%B5+%D1%80%D0%BE%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F,"Сильная карточка монопродукта, но broad numerology intent."
2026-08-26,Анима: Натальная карта и совместимость,com.kundalini.astroapp,https://www.rustore.ru/catalog/app/com.kundalini.astroapp,натальная совместимость / прямой,yes,yes,yes,not_evidenced,not_evidenced,unknown,unknown,unknown,до 1 тыс,10 авг 2026,4,Образ жизни,Красота; Самосовершенствование; Стиль жизни; Знакомства; Личные помощники,совместимость натальных карт#1,68,"Почему одни решения даются легко, а другие — через силу? Узнай, что говорят звёзды именно о тебе. Анима — твой персональный помощник по ведической астрологии (Джйотиш). Приложение анализирует вашу натальную карту по сист",№1 по «совместимость натальных карт»; свежая дата; exact natal + compatibility title.,Нет видимого рейтинга; до 1 тыс; 4 скриншота; отзыв о неудобном вводе данных.,Очень неудобное меню ввода данных Ещё,EVIDENCE,HIGH for visible listing facts; MEDIUM for analysis,https://www.rustore.ru/catalog/app/com.kundalini.astroapp | https://www.rustore.ru/catalog/search?query=%D1%81%D0%BE%D0%B2%D0%BC%D0%B5%D1%81%D1%82%D0%B8%D0%BC%D0%BE%D1%81%D1%82%D1%8C+%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D1%85+%D0%BA%D0%B0%D1%80%D1%82,Главный quick-win target для deep compatibility.
2026-08-26,Astrelle — персональный ИИ-астролог,ru.astrelle.app,https://www.rustore.ru/catalog/app/ru.astrelle.app,AI-астролог / новый,yes,yes,yes,not_evidenced,yes,unknown,unknown,unknown,до 1 тыс,19 авг 2026,3,Образ жизни,Гороскопы; Медитация; Самосовершенствование; Стиль жизни; Личные помощники,ИИ астролог#3,72,"Astrelle — персональный астрологический помощник с ИИ-астрологом. Постройте натальную карту по дате, времени и месту рождения, получайте ежедневные персональные гороскопы, разбирайте совместимость (синастрию) и задавайте",Exact personal AI title; fresh 19 авг 2026; natal + daily + synastry + questions.,Нет видимого рейтинга; до 1 тыс; только 3 скриншота.,unknown,EVIDENCE,HIGH for visible listing facts; MEDIUM for analysis,https://www.rustore.ru/catalog/app/ru.astrelle.app | https://www.rustore.ru/catalog/search?query=%D0%98%D0%98+%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3,Прямой новый конкурент с почти совпадающим feature set.
2026-08-26,"SoulMap: ИИ-астролог, астрология, натальная карта",pro.soulmap.app,https://www.rustore.ru/catalog/app/pro.soulmap.app,AI-астролог / новый,yes,yes,yes,not_evidenced,yes,unknown,unknown,unknown,до 1 тыс,21 авг 2026,6,Образ жизни,Личные помощники,ИИ астролог#5,75,"SoulMap — астрология и личный ИИ-астролог «Астра», который помнит ваш путь. Большинство гороскопов пишут сразу для всех, кто родился под одним знаком зодиака. Астра работает иначе: она читает вашу натальную карту, помни","Fresh 21 авг 2026; AI with memory, natal context and daily forecast; сильные позитивные review snippets; 6 скриншотов.",Нет видимого рейтинга; до 1 тыс; chat/psychology positioning не совпадает с MEOU finite question flow.,"Пользуюсь с мая еще на сайте до появления приложения. Дневной прогноз читаю почти каждый день. Здорово, что Астра помнит прошлые разговоры и не нужно каждый раз заново объяснять о чем речь как это в обычных иишных чатах. Минус для бесплатного тарифа - только базовые функции, и часть за звезды, хочется больше, но здорово что звезды можно докупить когда захочешь и недорого и что их можно еще бесплатно копить только долго. Ещё | Классное приложение. Астра это личный психолог. Поддержит, подсветит все твои мысли. Столько поддержки я не видела ни от кого. Просто большое спасибо разработчикам. Это уникальное приложение. Всё чётко, ясно, нет рекламы. Прям кайфую. Как грамотно формулирует Астра слова. Я в восторге! Ещё",EVIDENCE,HIGH for visible listing facts; MEDIUM for analysis,https://www.rustore.ru/catalog/app/pro.soulmap.app | https://www.rustore.ru/catalog/search?query=%D0%98%D0%98+%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3,"Retention benchmark, не копировать chat-first UX."
2026-08-26,Матрица Судьбы и Совместимость,com.matrix.destinyapp,https://www.rustore.ru/catalog/app/com.matrix.destinyapp,матрица судьбы / смежный,yes,not_evidenced,yes,yes,not_evidenced,unknown,unknown,unknown,до 1 тыс,26 июн 2026,10,Образ жизни,Гороскопы; Самосовершенствование; Стиль жизни,совместимость по дате рождения#5,62,"Раскройте свой потенциал с помощью нумерологии и энергий. Приложение «Матрица Судьбы» — это современный инструмент самопознания. Мы автоматизировали сложные расчеты, чтобы вы могли мгновенно получить расшифровку своей л",Exact matrix + compatibility title; 10 скриншотов; свежее обновление.,"Нет видимого рейтинга; до 1 тыс; отзыв жалуется на цвета, onboarding и навигацию.","Ужасное сочетание цветов в приложении. Глаза просто болеть начинаются через 1 минуту использования. При старте просит ввести имя и без этого ни как не открыть прилоление, странное решение. Да можно ввести какой нить бред, типа ""ррр"", но какрй сиысл тогша в этом. Меню внизу, видимо это меню хз, его не видно вообще, оно уходит под кнопки управления снизу. Текст нельзя сохранить, да и зачем, там всего 4 расшифровки на 2-5 предложений и не более. Восторгаться таким приложением очень странно Ещё | Спасибо за подробный отзыв — вы правы, старая версия была неудобной. Мы её полностью переработали: - Цвета заменены на мягкую палитру Rosé Pine, удобную для чтения - Ввод имени убран — приложение открывается сразу, профиль создаётся автоматически - Нижнее меню исправлено, кнопки больше не перекрываются системными элементами - Расшифровок стало больше — теперь у каждого аркана подробное описание с советами Загляните в обновлённую версию — надеемся, теперь понравится. Ещё",EVIDENCE,HIGH for visible listing facts; MEDIUM for analysis,https://www.rustore.ru/catalog/app/com.matrix.destinyapp | https://www.rustore.ru/catalog/search?query=%D1%81%D0%BE%D0%B2%D0%BC%D0%B5%D1%81%D1%82%D0%B8%D0%BC%D0%BE%D1%81%D1%82%D1%8C+%D0%BF%D0%BE+%D0%B4%D0%B0%D1%82%D0%B5+%D1%80%D0%BE%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F,"Исследовать спрос, но MEOU не имеет Matrix в release."
2026-08-26,Матрица Судьбы. Психоматрица,com.matricasudbu.app.matrica_sudbu,https://www.rustore.ru/catalog/app/com.matricasudbu.app.matrica_sudbu,матрица судьбы / лидер,not_evidenced,not_evidenced,yes,yes,not_evidenced,"5,0",783,752,7 тыс +,2 авг 2026,8,Образ жизни,Гороскопы; Самосовершенствование,совместимость по дате рождения#9,95,"Приложение для расчета матрицы судьбы, матрицы совместимости и детской матрицы судьбы предназначено для тех, кто верит в нумерологию и хочет получить практическую пользу от знания системы судьбоносных влияний. Для получ","5,0 при 783 оценках; 7 тыс+; fresh; matrix, compatibility и child matrix; 8 скриншотов.","Нумерологический продукт, не natal/horoscope; нерелевантен фактическому release MEOU.","Очень хорошо проработанное приложение для анализа судьбы, советую попробовать каждому👍🏻 Ещё | Very Good😍 Ещё",EVIDENCE,HIGH for visible listing facts; MEDIUM for analysis,https://www.rustore.ru/catalog/app/com.matricasudbu.app.matrica_sudbu | https://www.rustore.ru/catalog/search?query=%D1%81%D0%BE%D0%B2%D0%BC%D0%B5%D1%81%D1%82%D0%B8%D0%BC%D0%BE%D1%81%D1%82%D1%8C+%D0%BF%D0%BE+%D0%B4%D0%B0%D1%82%D0%B5+%D1%80%D0%BE%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F,"Лидер matrix-кластера; использовать только как market benchmark, не как metadata target."
