research_date,query,query_result_count,rank,competitor,package,url,search_rating,exact_title_match,keyword_match,listing_rating,rating_count,review_count,installs,updated,screenshots,positioning,strong_side,weak_side,current_no1,leader_reason_hypothesis,meou_advantage,meou_gap,required_to_beat,winability_0_100,battle_class,evidence_type,confidence,source
2026-08-26,натальная карта с расшифровкой,500,1,Астрокалендарь ENIGMATA. Ежедневный гороскоп,com.special_algorithmic_systems.engm_personal,https://www.rustore.ru/catalog/app/com.special_algorithmic_systems.engm_personal,"4,8",no,semantic_or_metadata_match,"4,8",56,45,10 тыс +,2 июл 2026,10,Полный функционал приложения доступен бесплатно первые 30 дней. Далее прогнозы доступны для подписчиков (платно). Приложение «Астрологический календа,10 тыс+,Отзывы сигналят о некорректной работе и обязательной регистрации,Астрокалендарь ENIGMATA. Ежедневный гороскоп,"HYPOTHESIS: №1 ENIGMATA выигрывает за счёт 10 тыс+ установок, 4,8 и богатой карточки; точный long-tail отсутствует в title.","MEOU реально строит и объясняет карту простым языком, а не только календарь прогнозов.",Нет market proof и exact long-tail coverage; нужны доказательства качества расшифровки.,Long-tail в short/первых 500 символах; screenshot с картой и понятным разбором; отзывы после успешного построения; сравнить CVR против лидера.,48,MEDIUM BATTLE,EVIDENCE for live rank/listing facts; HYPOTHESIS for ranking reason,HIGH facts / MEDIUM inference,RuStore live search: https://www.rustore.ru/catalog/search?query=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BA%D0%B0%D1%80%D1%82%D0%B0+%D1%81+%D1%80%D0%B0%D1%81%D1%88%D0%B8%D1%84%D1%80%D0%BE%D0%B2%D0%BA%D0%BE%D0%B9 | listing: https://www.rustore.ru/catalog/app/com.special_algorithmic_systems.engm_personal
2026-08-26,натальная карта с расшифровкой,500,2,Натальная карта рассчитать с расшифровкой онлайн,ru.mynatalchart.app,https://www.rustore.ru/catalog/app/ru.mynatalchart.app,"4,9",no,all_content_terms_in_title,"4,9",52,unknown,1 тыс +,24 июн 2026,6,"Натальная карта — ваш личный астрологический портрет, рассчитанный по дате, времени и месту рождения. Приложение помогает лучше понять себя: характер,",Точное long-tail title,Только 1 тыс+ установок,see rank 1,see rank 1,see rank 1,see rank 1,see rank 1,48,MEDIUM BATTLE,EVIDENCE for live rank/listing facts; HYPOTHESIS for ranking reason,HIGH facts / MEDIUM inference,RuStore live search: https://www.rustore.ru/catalog/search?query=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BA%D0%B0%D1%80%D1%82%D0%B0+%D1%81+%D1%80%D0%B0%D1%81%D1%88%D0%B8%D1%84%D1%80%D0%BE%D0%B2%D0%BA%D0%BE%D0%B9 | listing: https://www.rustore.ru/catalog/app/ru.mynatalchart.app
2026-08-26,натальная карта с расшифровкой,500,3,Натальная карта. Астрология. Матрица Судьбы,com.matricasudbu.app.astro,https://www.rustore.ru/catalog/app/com.matricasudbu.app.astro,"4,9",no,partial_title_match,"4,9",205,24,3 тыс +,2 авг 2026,5,"Приложение ""Натальная карта. Астрология. Матрица Судьбы"" — это ваш личный астрологический помощник, который поможет раскрыть тайны вашего рождения, по","4,9 при 205 оценках",В отзывах видны жалобы на UTC/место рождения и регистрацию,see rank 1,see rank 1,see rank 1,see rank 1,see rank 1,48,MEDIUM BATTLE,EVIDENCE for live rank/listing facts; HYPOTHESIS for ranking reason,HIGH facts / MEDIUM inference,RuStore live search: https://www.rustore.ru/catalog/search?query=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BA%D0%B0%D1%80%D1%82%D0%B0+%D1%81+%D1%80%D0%B0%D1%81%D1%88%D0%B8%D1%84%D1%80%D0%BE%D0%B2%D0%BA%D0%BE%D0%B9 | listing: https://www.rustore.ru/catalog/app/com.matricasudbu.app.astro
2026-08-26,натальная карта с расшифровкой,500,4,Натальная карта,com.natalchart.natalchartapp,https://www.rustore.ru/catalog/app/com.natalchart.natalchartapp,"2,5",no,partial_title_match,"2,5",10,9,1 тыс +,15 янв 2026,5,"Точная астрология на основе математических вычислений. Приложение «Натальная карта» — это профессиональный инструмент для тех, кто ищет глубокий анал",Идеальное точное совпадение title с head-запросом,"2,5 при 10 оценках",see rank 1,see rank 1,see rank 1,see rank 1,see rank 1,48,MEDIUM BATTLE,EVIDENCE for live rank/listing facts; HYPOTHESIS for ranking reason,HIGH facts / MEDIUM inference,RuStore live search: https://www.rustore.ru/catalog/search?query=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BA%D0%B0%D1%80%D1%82%D0%B0+%D1%81+%D1%80%D0%B0%D1%81%D1%88%D0%B8%D1%84%D1%80%D0%BE%D0%B2%D0%BA%D0%BE%D0%B9 | listing: https://www.rustore.ru/catalog/app/com.natalchart.natalchartapp
2026-08-26,натальная карта с расшифровкой,500,5,Astrollo AI — натальная карта и гороскопы,ru.astrolloai.app,https://www.rustore.ru/catalog/app/ru.astrolloai.app,"5,0",no,partial_title_match,"5,0",26,24,до 1 тыс,4 авг 2026,8,"Astrollo AI — твой персональный AI-астролог в телефоне. Рассчитай натальную карту и матрицу судьбы по дате рождения, читай гороскоп на сегодня и прове","5,0",До 1 тыс установок и только 26 оценок,see rank 1,see rank 1,see rank 1,see rank 1,see rank 1,48,MEDIUM BATTLE,EVIDENCE for live rank/listing facts; HYPOTHESIS for ranking reason,HIGH facts / MEDIUM inference,RuStore live search: https://www.rustore.ru/catalog/search?query=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BA%D0%B0%D1%80%D1%82%D0%B0+%D1%81+%D1%80%D0%B0%D1%81%D1%88%D0%B8%D1%84%D1%80%D0%BE%D0%B2%D0%BA%D0%BE%D0%B9 | listing: https://www.rustore.ru/catalog/app/ru.astrolloai.app
2026-08-26,натальная карта с расшифровкой,500,6,АстроКод: натальная карта,com.dixtalescat.astrocode,https://www.rustore.ru/catalog/app/com.dixtalescat.astrocode,unknown,no,partial_title_match,unknown,unknown,unknown,unknown,unknown,unknown,Positioning inferred from visible RuStore title only.,Top-10 visibility for the exact query.,No rating visible in search; detail listing not in 25-app deep sample.,see rank 1,see rank 1,see rank 1,see rank 1,see rank 1,48,MEDIUM BATTLE,EVIDENCE for live rank/listing facts; HYPOTHESIS for ranking reason,HIGH rank / LOW detail,RuStore live search: https://www.rustore.ru/catalog/search?query=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BA%D0%B0%D1%80%D1%82%D0%B0+%D1%81+%D1%80%D0%B0%D1%81%D1%88%D0%B8%D1%84%D1%80%D0%BE%D0%B2%D0%BA%D0%BE%D0%B9
2026-08-26,натальная карта с расшифровкой,500,7,Натальная карта - AstroChart,com.birth.chart.natal.horoscope.astrology.tarot,https://www.rustore.ru/catalog/app/com.birth.chart.natal.horoscope.astrology.tarot,unknown,no,partial_title_match,unknown,unknown,unknown,до 1 тыс,10 окт 2025,4,"Скачайте AstroChart: Натальная карта прямо сейчас — это безопасное приложение с проверенной репутацией, которое работает стабильно на современных смар",Keyword-forward title,Нет видимого рейтинга,see rank 1,see rank 1,see rank 1,see rank 1,see rank 1,48,MEDIUM BATTLE,EVIDENCE for live rank/listing facts; HYPOTHESIS for ranking reason,HIGH facts / MEDIUM inference,RuStore live search: https://www.rustore.ru/catalog/search?query=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BA%D0%B0%D1%80%D1%82%D0%B0+%D1%81+%D1%80%D0%B0%D1%81%D1%88%D0%B8%D1%84%D1%80%D0%BE%D0%B2%D0%BA%D0%BE%D0%B9 | listing: https://www.rustore.ru/catalog/app/com.birth.chart.natal.horoscope.astrology.tarot
2026-08-26,натальная карта с расшифровкой,500,8,"AstroStar: Гороскопы, Астрология, Натальная карта",ru.astrostar.yakuba.android,https://www.rustore.ru/catalog/app/ru.astrostar.yakuba.android,"4,6",no,partial_title_match,unknown,unknown,unknown,unknown,unknown,unknown,Positioning inferred from visible RuStore title only.,"Visible rating 4,6 in search.",Detail metrics not audited in 25-app deep sample.,see rank 1,see rank 1,see rank 1,see rank 1,see rank 1,48,MEDIUM BATTLE,EVIDENCE for live rank/listing facts; HYPOTHESIS for ranking reason,HIGH rank / LOW detail,RuStore live search: https://www.rustore.ru/catalog/search?query=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BA%D0%B0%D1%80%D1%82%D0%B0+%D1%81+%D1%80%D0%B0%D1%81%D1%88%D0%B8%D1%84%D1%80%D0%BE%D0%B2%D0%BA%D0%BE%D0%B9
2026-08-26,натальная карта с расшифровкой,500,9,Ведаскоп: джйотиш и натальная карта,ru.z9games.jyotish,https://www.rustore.ru/catalog/app/ru.z9games.jyotish,unknown,no,partial_title_match,unknown,unknown,unknown,unknown,unknown,unknown,Positioning inferred from visible RuStore title only.,Top-10 visibility for the exact query.,No rating visible in search; detail listing not in 25-app deep sample.,see rank 1,see rank 1,see rank 1,see rank 1,see rank 1,48,MEDIUM BATTLE,EVIDENCE for live rank/listing facts; HYPOTHESIS for ranking reason,HIGH rank / LOW detail,RuStore live search: https://www.rustore.ru/catalog/search?query=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BA%D0%B0%D1%80%D1%82%D0%B0+%D1%81+%D1%80%D0%B0%D1%81%D1%88%D0%B8%D1%84%D1%80%D0%BE%D0%B2%D0%BA%D0%BE%D0%B9
2026-08-26,натальная карта с расшифровкой,500,10,Астрологические Карты Lite,ru.astro.chartslite,https://www.rustore.ru/catalog/app/ru.astro.chartslite,"4,4",no,semantic_or_metadata_match,unknown,unknown,unknown,unknown,unknown,unknown,Positioning inferred from visible RuStore title only.,"Visible rating 4,4 in search.",Detail metrics not audited in 25-app deep sample.,see rank 1,see rank 1,see rank 1,see rank 1,see rank 1,48,MEDIUM BATTLE,EVIDENCE for live rank/listing facts; HYPOTHESIS for ranking reason,HIGH rank / LOW detail,RuStore live search: https://www.rustore.ru/catalog/search?query=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BA%D0%B0%D1%80%D1%82%D0%B0+%D1%81+%D1%80%D0%B0%D1%81%D1%88%D0%B8%D1%84%D1%80%D0%BE%D0%B2%D0%BA%D0%BE%D0%B9
2026-08-26,рассчитать натальную карту,500,1,Натальная карта рассчитать с расшифровкой онлайн,ru.mynatalchart.app,https://www.rustore.ru/catalog/app/ru.mynatalchart.app,"4,9",no,partial_title_match,"4,9",52,unknown,1 тыс +,24 июн 2026,6,"Натальная карта — ваш личный астрологический портрет, рассчитанный по дате, времени и месту рождения. Приложение помогает лучше понять себя: характер,",Точное long-tail title,Только 1 тыс+ установок,Натальная карта рассчитать с расшифровкой онлайн,"HYPOTHESIS: №1 myNatal имеет почти exact title, 4,9 и 1 тыс+; intent match очень высокий.",MEOU соединяет расчёт с продолжительным персональным прогнозом и совместимостью.,Конкурент уже владеет exact calculate intent и имеет 52 оценки.,Показать расчёт по дате/времени/месту в первых двух скриншотах; metadata exact phrase; parity по rating и больше полезных reviews.,55,MEDIUM BATTLE,EVIDENCE for live rank/listing facts; HYPOTHESIS for ranking reason,HIGH facts / MEDIUM inference,RuStore live search: https://www.rustore.ru/catalog/search?query=%D1%80%D0%B0%D1%81%D1%81%D1%87%D0%B8%D1%82%D0%B0%D1%82%D1%8C+%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D1%83%D1%8E+%D0%BA%D0%B0%D1%80%D1%82%D1%83 | listing: https://www.rustore.ru/catalog/app/ru.mynatalchart.app
2026-08-26,рассчитать натальную карту,500,2,Натальная карта. Астрология. Матрица Судьбы,com.matricasudbu.app.astro,https://www.rustore.ru/catalog/app/com.matricasudbu.app.astro,"4,9",no,semantic_or_metadata_match,"4,9",205,24,3 тыс +,2 авг 2026,5,"Приложение ""Натальная карта. Астрология. Матрица Судьбы"" — это ваш личный астрологический помощник, который поможет раскрыть тайны вашего рождения, по","4,9 при 205 оценках",В отзывах видны жалобы на UTC/место рождения и регистрацию,see rank 1,see rank 1,see rank 1,see rank 1,see rank 1,55,MEDIUM BATTLE,EVIDENCE for live rank/listing facts; HYPOTHESIS for ranking reason,HIGH facts / MEDIUM inference,RuStore live search: https://www.rustore.ru/catalog/search?query=%D1%80%D0%B0%D1%81%D1%81%D1%87%D0%B8%D1%82%D0%B0%D1%82%D1%8C+%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D1%83%D1%8E+%D0%BA%D0%B0%D1%80%D1%82%D1%83 | listing: https://www.rustore.ru/catalog/app/com.matricasudbu.app.astro
2026-08-26,рассчитать натальную карту,500,3,Astrollo AI — натальная карта и гороскопы,ru.astrolloai.app,https://www.rustore.ru/catalog/app/ru.astrolloai.app,"5,0",no,semantic_or_metadata_match,"5,0",26,24,до 1 тыс,4 авг 2026,8,"Astrollo AI — твой персональный AI-астролог в телефоне. Рассчитай натальную карту и матрицу судьбы по дате рождения, читай гороскоп на сегодня и прове","5,0",До 1 тыс установок и только 26 оценок,see rank 1,see rank 1,see rank 1,see rank 1,see rank 1,55,MEDIUM BATTLE,EVIDENCE for live rank/listing facts; HYPOTHESIS for ranking reason,HIGH facts / MEDIUM inference,RuStore live search: https://www.rustore.ru/catalog/search?query=%D1%80%D0%B0%D1%81%D1%81%D1%87%D0%B8%D1%82%D0%B0%D1%82%D1%8C+%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D1%83%D1%8E+%D0%BA%D0%B0%D1%80%D1%82%D1%83 | listing: https://www.rustore.ru/catalog/app/ru.astrolloai.app
2026-08-26,рассчитать натальную карту,500,4,Натальная карта,com.natalchart.natalchartapp,https://www.rustore.ru/catalog/app/com.natalchart.natalchartapp,"2,5",no,semantic_or_metadata_match,"2,5",10,9,1 тыс +,15 янв 2026,5,"Точная астрология на основе математических вычислений. Приложение «Натальная карта» — это профессиональный инструмент для тех, кто ищет глубокий анал",Идеальное точное совпадение title с head-запросом,"2,5 при 10 оценках",see rank 1,see rank 1,see rank 1,see rank 1,see rank 1,55,MEDIUM BATTLE,EVIDENCE for live rank/listing facts; HYPOTHESIS for ranking reason,HIGH facts / MEDIUM inference,RuStore live search: https://www.rustore.ru/catalog/search?query=%D1%80%D0%B0%D1%81%D1%81%D1%87%D0%B8%D1%82%D0%B0%D1%82%D1%8C+%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D1%83%D1%8E+%D0%BA%D0%B0%D1%80%D1%82%D1%83 | listing: https://www.rustore.ru/catalog/app/com.natalchart.natalchartapp
2026-08-26,рассчитать натальную карту,500,5,Natalist,com.natalis.flutter_app,https://www.rustore.ru/catalog/app/com.natalis.flutter_app,unknown,no,semantic_or_metadata_match,unknown,unknown,unknown,unknown,unknown,unknown,Positioning inferred from visible RuStore title only.,Top-10 visibility for the exact query.,No rating visible in search; detail listing not in 25-app deep sample.,see rank 1,see rank 1,see rank 1,see rank 1,see rank 1,55,MEDIUM BATTLE,EVIDENCE for live rank/listing facts; HYPOTHESIS for ranking reason,HIGH rank / LOW detail,RuStore live search: https://www.rustore.ru/catalog/search?query=%D1%80%D0%B0%D1%81%D1%81%D1%87%D0%B8%D1%82%D0%B0%D1%82%D1%8C+%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D1%83%D1%8E+%D0%BA%D0%B0%D1%80%D1%82%D1%83
2026-08-26,рассчитать натальную карту,500,6,Натальная карта - AstroChart,com.birth.chart.natal.horoscope.astrology.tarot,https://www.rustore.ru/catalog/app/com.birth.chart.natal.horoscope.astrology.tarot,unknown,no,semantic_or_metadata_match,unknown,unknown,unknown,до 1 тыс,10 окт 2025,4,"Скачайте AstroChart: Натальная карта прямо сейчас — это безопасное приложение с проверенной репутацией, которое работает стабильно на современных смар",Keyword-forward title,Нет видимого рейтинга,see rank 1,see rank 1,see rank 1,see rank 1,see rank 1,55,MEDIUM BATTLE,EVIDENCE for live rank/listing facts; HYPOTHESIS for ranking reason,HIGH facts / MEDIUM inference,RuStore live search: https://www.rustore.ru/catalog/search?query=%D1%80%D0%B0%D1%81%D1%81%D1%87%D0%B8%D1%82%D0%B0%D1%82%D1%8C+%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D1%83%D1%8E+%D0%BA%D0%B0%D1%80%D1%82%D1%83 | listing: https://www.rustore.ru/catalog/app/com.birth.chart.natal.horoscope.astrology.tarot
2026-08-26,рассчитать натальную карту,500,7,АстроКод: натальная карта,com.dixtalescat.astrocode,https://www.rustore.ru/catalog/app/com.dixtalescat.astrocode,unknown,no,semantic_or_metadata_match,unknown,unknown,unknown,unknown,unknown,unknown,Positioning inferred from visible RuStore title only.,Top-10 visibility for the exact query.,No rating visible in search; detail listing not in 25-app deep sample.,see rank 1,see rank 1,see rank 1,see rank 1,see rank 1,55,MEDIUM BATTLE,EVIDENCE for live rank/listing facts; HYPOTHESIS for ranking reason,HIGH rank / LOW detail,RuStore live search: https://www.rustore.ru/catalog/search?query=%D1%80%D0%B0%D1%81%D1%81%D1%87%D0%B8%D1%82%D0%B0%D1%82%D1%8C+%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D1%83%D1%8E+%D0%BA%D0%B0%D1%80%D1%82%D1%83
