"keyword","cluster","intent","product_relevance","status","tier","target_placement","notes","asodesk_us_daily_impressions","asodesk_us_difficulty","asodesk_us_calculation_status","asodesk_us_source_url","asodesk_us_metric_warning"
"personal weekly horoscope","Personal forecast","Read a personalized forecast for the selected period","9","Target","A","short/full","Current 30-key EN anchor. Premium or deep-access intent","Calc","0","calculating","https://hq.asodesk.com/aso-tools/find-and-track/com.matricasudbu.app.astro?locale=us","Approximate ASOdesk metric; total apps is visible result count; benchmark rank is not MEOU rank"
"personal monthly horoscope","Personal forecast","Read a personalized forecast for the selected period","9","Target","A","short/full","Current 30-key EN anchor. Premium or deep-access intent","Calc","0","calculating","https://hq.asodesk.com/aso-tools/find-and-track/com.matricasudbu.app.astro?locale=us","Approximate ASOdesk metric; total apps is visible result count; benchmark rank is not MEOU rank"
"zodiac sign horoscope","Zodiac horoscopes","Read a general horoscope for a zodiac sign","9","Target","A","full/visual","Current 30-key EN anchor. Real MEOU capability; validate demand before promotion","0","49","ready","https://hq.asodesk.com/aso-tools/find-and-track/com.matricasudbu.app.astro?locale=us","Approximate ASOdesk metric; total apps is visible result count; benchmark rank is not MEOU rank"
"horoscope by birth date","Personal forecast","Read a personalized forecast for the selected period","9","Target","A","short/full","Current 30-key EN anchor. Real MEOU capability; validate demand before promotion","Calc","0","calculating","https://hq.asodesk.com/aso-tools/find-and-track/com.matricasudbu.app.astro?locale=us","Approximate ASOdesk metric; total apps is visible result count; benchmark rank is not MEOU rank"
"love compatibility","Compatibility","Check sign compatibility or compare two calculated charts","9","Target","A","short/full/visual","Current 30-key EN anchor. Real MEOU capability; validate demand before promotion","0","2","calculating","https://hq.asodesk.com/aso-tools/find-and-track/com.matricasudbu.app.astro?locale=us","Approximate ASOdesk metric; total apps is visible result count; benchmark rank is not MEOU rank"
"relationship compatibility","Compatibility","Check sign compatibility or compare two calculated charts","9","Target","A","short/full/visual","Current 30-key EN anchor. Real MEOU capability; validate demand before promotion","0","50","ready","https://hq.asodesk.com/aso-tools/find-and-track/com.matricasudbu.app.astro?locale=us","Approximate ASOdesk metric; total apps is visible result count; benchmark rank is not MEOU rank"
"synastry chart","Compatibility","Check sign compatibility or compare two calculated charts","9","Target","A","short/full/visual","Current 30-key EN anchor. Premium or deep-access intent","0","34","ready","https://hq.asodesk.com/aso-tools/find-and-track/com.matricasudbu.app.astro?locale=us","Approximate ASOdesk metric; total apps is visible result count; benchmark rank is not MEOU rank"
"ascendant calculator","Natal chart","Build or understand a calculated birth chart","10","Target","A","short/full","Current 30-key EN anchor. Real MEOU capability; validate demand before promotion","0","44","ready","https://hq.asodesk.com/aso-tools/find-and-track/com.matricasudbu.app.astro?locale=us","Approximate ASOdesk metric; total apps is visible result count; benchmark rank is not MEOU rank"
"natal chart online","Natal chart","Build or understand a calculated birth chart","10","Target","A","short/full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"free natal chart","Natal chart","Build or understand a calculated birth chart","10","Target","A","short/full","Basic chart is free; deep interpretation remains Premium","","","","","Not queried in current US ASOdesk matrix"
"birth chart by date of birth","Natal chart","Build or understand a calculated birth chart","10","Target","A","short/full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"birth chart by time of birth","Natal chart","Build or understand a calculated birth chart","10","Target","A","short/full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"natal chart calculator","Natal chart","Build or understand a calculated birth chart","10","Target","A","short/full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"natal chart analysis","Natal chart","Build or understand a calculated birth chart","10","Target","A","short/full","Premium or deep-access intent","","","","","Not queried in current US ASOdesk matrix"
"personalized daily horoscope","Personal forecast","Read a personalized forecast for the selected period","9","Target","A","short/full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"personalized weekly horoscope","Personal forecast","Read a personalized forecast for the selected period","9","Target","A","short/full","Premium or deep-access intent","","","","","Not queried in current US ASOdesk matrix"
"personalized monthly horoscope","Personal forecast","Read a personalized forecast for the selected period","9","Target","A","short/full","Premium or deep-access intent","","","","","Not queried in current US ASOdesk matrix"
"horoscope for my zodiac sign","Zodiac horoscopes","Read a general horoscope for a zodiac sign","9","Target","A","full/visual","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"horoscope for all zodiac signs","Zodiac horoscopes","Read a general horoscope for a zodiac sign","9","Target","A","full/visual","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"birth chart compatibility","Compatibility","Check sign compatibility or compare two calculated charts","9","Target","A","short/full/visual","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"synastry calculator","Compatibility","Check sign compatibility or compare two calculated charts","9","Target","A","short/full/visual","Premium or deep-access intent","","","","","Not queried in current US ASOdesk matrix"
"relationship astrology","Compatibility","Check sign compatibility or compare two calculated charts","9","Target","A","short/full/visual","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"compatibility by date of birth","Compatibility","Check sign compatibility or compare two calculated charts","9","Target","A","short/full/visual","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"AI horoscope","AI astrology","Get an AI-generated forecast or saved-chart answer","8","Target","A","full/visual","AI only; do not imply a human astrologer or full-screen chat","","","","","Not queried in current US ASOdesk matrix"
"AI birth chart reading","AI astrology","Get an AI-generated forecast or saved-chart answer","8","Target","A","full/visual","AI only; do not imply a human astrologer or full-screen chat","","","","","Not queried in current US ASOdesk matrix"
"personal astrology","Astrology discovery","Find a general astrology application","8","Target","A","full/tag","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"rising sign calculator","Natal chart","Build or understand a calculated birth chart","10","Target","A","short/full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"moon sign calculator","Natal chart","Build or understand a calculated birth chart","10","Target","A","short/full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"astrology birth chart","Natal chart","Build or understand a calculated birth chart","10","Target","A","short/full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"natal horoscope","Natal chart","Build or understand a calculated birth chart","10","Target","A","short/full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"moon calendar","Moon and retrogrades","Check moon phases or retrograde timing","6","Target","B","full only if surfaced","Current 30-key EN anchor. Actual utility but not a primary acquisition promise","0","48","ready","https://hq.asodesk.com/aso-tools/find-and-track/com.matricasudbu.app.astro?locale=us","Approximate ASOdesk metric; total apps is visible result count; benchmark rank is not MEOU rank"
"astrology app","Astrology discovery","Find a general astrology application","8","Target","B","full/tag","Current 30-key EN anchor. Real MEOU capability; validate demand before promotion","0","57","ready","https://hq.asodesk.com/aso-tools/find-and-track/com.matricasudbu.app.astro?locale=us","Approximate ASOdesk metric; total apps is visible result count; benchmark rank is not MEOU rank"
"birth chart app","Natal chart","Build or understand a calculated birth chart","10","Target","B","full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"natal chart app","Natal chart","Build or understand a calculated birth chart","10","Target","B","full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"online birth chart","Natal chart","Build or understand a calculated birth chart","10","Target","B","full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"free birth chart","Natal chart","Build or understand a calculated birth chart","10","Target","B","full","Basic chart is free; deep interpretation remains Premium","","","","","Not queried in current US ASOdesk matrix"
"birth chart reading","Natal chart","Build or understand a calculated birth chart","10","Target","B","full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"natal chart reading","Natal chart","Build or understand a calculated birth chart","10","Target","B","full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"astrology chart calculator","Natal chart","Build or understand a calculated birth chart","10","Target","B","full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"astrological birth chart","Natal chart","Build or understand a calculated birth chart","10","Target","B","full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"chart of birth","Natal chart","Build or understand a calculated birth chart","10","Target","B","full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"birth horoscope","Natal chart","Build or understand a calculated birth chart","10","Target","B","full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"date of birth astrology","Natal chart","Build or understand a calculated birth chart","10","Target","B","full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"time of birth astrology","Natal chart","Build or understand a calculated birth chart","10","Target","B","full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"place of birth astrology","Natal chart","Build or understand a calculated birth chart","10","Target","B","full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"rising sign","Natal chart","Build or understand a calculated birth chart","10","Target","B","full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"ascendant","Natal chart","Build or understand a calculated birth chart","10","Target","B","full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"moon sign","Natal chart","Build or understand a calculated birth chart","10","Target","B","full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"sun sign","Natal chart","Build or understand a calculated birth chart","10","Target","B","full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"planets in natal chart","Natal chart","Build or understand a calculated birth chart","10","Target","B","full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"houses in natal chart","Natal chart","Build or understand a calculated birth chart","10","Target","B","full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"aspects in natal chart","Natal chart","Build or understand a calculated birth chart","10","Target","B","full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"birth chart houses","Natal chart","Build or understand a calculated birth chart","10","Target","B","full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"birth chart aspects","Natal chart","Build or understand a calculated birth chart","10","Target","B","full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"birth chart planets","Natal chart","Build or understand a calculated birth chart","10","Target","B","full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"personality birth chart","Natal chart","Build or understand a calculated birth chart","10","Target","B","full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"strengths in birth chart","Natal chart","Build or understand a calculated birth chart","10","Target","B","full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"talents in birth chart","Natal chart","Build or understand a calculated birth chart","10","Target","B","full","Premium or deep-access intent","","","","","Not queried in current US ASOdesk matrix"
"shadow self birth chart","Natal chart","Build or understand a calculated birth chart","10","Target","B","full","Premium or deep-access intent","","","","","Not queried in current US ASOdesk matrix"
"career birth chart","Natal chart","Build or understand a calculated birth chart","10","Target","B","full","Premium or deep-access intent","","","","","Not queried in current US ASOdesk matrix"
"love birth chart","Natal chart","Build or understand a calculated birth chart","10","Target","B","full","Premium or deep-access intent","","","","","Not queried in current US ASOdesk matrix"
"money birth chart","Natal chart","Build or understand a calculated birth chart","10","Target","B","full","Premium or deep-access intent","","","","","Not queried in current US ASOdesk matrix"
"family birth chart","Natal chart","Build or understand a calculated birth chart","10","Target","B","full","Premium or deep-access intent","","","","","Not queried in current US ASOdesk matrix"
"questions about birth chart","Natal chart","Build or understand a calculated birth chart","10","Target","B","full","Premium or deep-access intent","","","","","Not queried in current US ASOdesk matrix"
"deep natal report","Natal chart","Build or understand a calculated birth chart","10","Target","B","full","Premium or deep-access intent","","","","","Not queried in current US ASOdesk matrix"
"how to read natal chart","Natal chart","Build or understand a calculated birth chart","10","Target","B","full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"understand my birth chart","Natal chart","Build or understand a calculated birth chart","10","Target","B","full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"today astrology forecast","Personal forecast","Read a personalized forecast for the selected period","9","Target","B","full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"daily astrology forecast","Personal forecast","Read a personalized forecast for the selected period","9","Target","B","full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"weekly astrology forecast","Personal forecast","Read a personalized forecast for the selected period","9","Target","B","full","Premium or deep-access intent","","","","","Not queried in current US ASOdesk matrix"
"monthly astrology forecast","Personal forecast","Read a personalized forecast for the selected period","9","Target","B","full","Premium or deep-access intent","","","","","Not queried in current US ASOdesk matrix"
"personal forecast","Personal forecast","Read a personalized forecast for the selected period","9","Target","B","full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"personal forecast today","Personal forecast","Read a personalized forecast for the selected period","9","Target","B","full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"personal forecast this week","Personal forecast","Read a personalized forecast for the selected period","9","Target","B","full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"personal forecast this month","Personal forecast","Read a personalized forecast for the selected period","9","Target","B","full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"horoscope app","Personal forecast","Read a personalized forecast for the selected period","9","Target","B","full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"daily horoscope app","Personal forecast","Read a personalized forecast for the selected period","9","Target","B","full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"weekly zodiac horoscope","Zodiac horoscopes","Read a general horoscope for a zodiac sign","9","Target","B","full/visual","Premium or deep-access intent","","","","","Not queried in current US ASOdesk matrix"
"monthly zodiac horoscope","Zodiac horoscopes","Read a general horoscope for a zodiac sign","9","Target","B","full/visual","Premium or deep-access intent","","","","","Not queried in current US ASOdesk matrix"
"horoscope without signup","Personal forecast","Read a personalized forecast for the selected period","9","Target","B","full","Guest-first access is real; account can be linked later","","","","","Not queried in current US ASOdesk matrix"
"free daily horoscope","Personal forecast","Read a personalized forecast for the selected period","9","Target","B","full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"horoscope for me","Personal forecast","Read a personalized forecast for the selected period","9","Target","B","full","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"aries horoscope today","Zodiac horoscopes","Read a general horoscope for a zodiac sign","9","Target","B","full/visual","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"taurus horoscope today","Zodiac horoscopes","Read a general horoscope for a zodiac sign","9","Target","B","full/visual","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"gemini horoscope today","Zodiac horoscopes","Read a general horoscope for a zodiac sign","9","Target","B","full/visual","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"cancer horoscope today","Zodiac horoscopes","Read a general horoscope for a zodiac sign","9","Target","B","full/visual","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"leo horoscope today","Zodiac horoscopes","Read a general horoscope for a zodiac sign","9","Target","B","full/visual","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"virgo horoscope today","Zodiac horoscopes","Read a general horoscope for a zodiac sign","9","Target","B","full/visual","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"libra horoscope today","Zodiac horoscopes","Read a general horoscope for a zodiac sign","9","Target","B","full/visual","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"scorpio horoscope today","Zodiac horoscopes","Read a general horoscope for a zodiac sign","9","Target","B","full/visual","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"sagittarius horoscope today","Zodiac horoscopes","Read a general horoscope for a zodiac sign","9","Target","B","full/visual","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"capricorn horoscope today","Zodiac horoscopes","Read a general horoscope for a zodiac sign","9","Target","B","full/visual","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"aquarius horoscope today","Zodiac horoscopes","Read a general horoscope for a zodiac sign","9","Target","B","full/visual","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"pisces horoscope today","Zodiac horoscopes","Read a general horoscope for a zodiac sign","9","Target","B","full/visual","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"couple compatibility","Compatibility","Check sign compatibility or compare two calculated charts","9","Target","B","full/visual","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"partner compatibility","Compatibility","Check sign compatibility or compare two calculated charts","9","Target","B","full/visual","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"romantic compatibility","Compatibility","Check sign compatibility or compare two calculated charts","9","Target","B","full/visual","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"friendship compatibility","Compatibility","Check sign compatibility or compare two calculated charts","9","Target","B","full/visual","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"work compatibility","Compatibility","Check sign compatibility or compare two calculated charts","9","Target","B","full/visual","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"marriage compatibility","Compatibility","Check sign compatibility or compare two calculated charts","9","Target","B","full/visual","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"compatibility of two birth charts","Compatibility","Check sign compatibility or compare two calculated charts","9","Target","B","full/visual","Premium or deep-access intent","","","","","Not queried in current US ASOdesk matrix"
"astrological compatibility","Compatibility","Check sign compatibility or compare two calculated charts","9","Target","B","full/visual","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"zodiac love compatibility","Compatibility","Check sign compatibility or compare two calculated charts","9","Target","B","full/visual","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"relationship compatibility calculator","Compatibility","Check sign compatibility or compare two calculated charts","9","Target","B","full/visual","Real MEOU capability; validate demand before promotion","","","","","Not queried in current US ASOdesk matrix"
"ask AI astrologer","AI astrology","Get an AI-generated forecast or saved-chart answer","8","Target","B","full/visual","AI only; do not imply a human astrologer or full-screen chat","","","","","Not queried in current US ASOdesk matrix"
"AI astrology assistant","AI astrology","Get an AI-generated forecast or saved-chart answer","8","Target","B","full/visual","AI only; do not imply a human astrologer or full-screen chat","","","","","Not queried in current US ASOdesk matrix"
"personal AI astrologer","AI astrology","Get an AI-generated forecast or saved-chart answer","8","Target","B","full/visual","AI only; do not imply a human astrologer or full-screen chat","","","","","Not queried in current US ASOdesk matrix"
"AI natal chart","AI astrology","Get an AI-generated forecast or saved-chart answer","8","Target","B","full/visual","AI only; do not imply a human astrologer or full-screen chat","","","","","Not queried in current US ASOdesk matrix"
"AI astrology reading","AI astrology","Get an AI-generated forecast or saved-chart answer","8","Target","B","full/visual","AI only; do not imply a human astrologer or full-screen chat","","","","","Not queried in current US ASOdesk matrix"
"birth chart questions","AI astrology","Get an AI-generated forecast or saved-chart answer","8","Target","B","full/visual","AI only; do not imply a human astrologer or full-screen chat","","","","","Not queried in current US ASOdesk matrix"
"moon phases","Moon and retrogrades","Check moon phases or retrograde timing","6","Target","B","full only if surfaced","Actual utility but not a primary acquisition promise","","","","","Not queried in current US ASOdesk matrix"
"moon phase today","Moon and retrogrades","Check moon phases or retrograde timing","6","Target","B","full only if surfaced","Actual utility but not a primary acquisition promise","","","","","Not queried in current US ASOdesk matrix"
"retrograde mercury","Moon and retrogrades","Check moon phases or retrograde timing","6","Target","B","full only if surfaced","Actual utility but not a primary acquisition promise","","","","","Not queried in current US ASOdesk matrix"
"retrograde planets","Moon and retrogrades","Check moon phases or retrograde timing","6","Target","B","full only if surfaced","Actual utility but not a primary acquisition promise","","","","","Not queried in current US ASOdesk matrix"
"retrograde tracker","Moon and retrogrades","Check moon phases or retrograde timing","6","Target","B","full only if surfaced","Actual utility but not a primary acquisition promise","","","","","Not queried in current US ASOdesk matrix"
"what does my birth chart say","Natural-language intent","Solve a personal question in everyday language","7","Experiment","C","experiment copy only","Natural-language hypothesis; validate before metadata use","","","","","Not queried in current US ASOdesk matrix"
"what is my rising sign","Natural-language intent","Solve a personal question in everyday language","7","Experiment","C","experiment copy only","Natural-language hypothesis; validate before metadata use","","","","","Not queried in current US ASOdesk matrix"
"what does today hold for me","Natural-language intent","Solve a personal question in everyday language","7","Experiment","C","experiment copy only","Natural-language hypothesis; validate before metadata use","","","","","Not queried in current US ASOdesk matrix"
"what does this week hold for me","Natural-language intent","Solve a personal question in everyday language","7","Experiment","C","experiment copy only","Natural-language hypothesis; validate before metadata use","","","","","Not queried in current US ASOdesk matrix"
"what does this month hold for me","Natural-language intent","Solve a personal question in everyday language","7","Experiment","C","experiment copy only","Natural-language hypothesis; validate before metadata use","","","","","Not queried in current US ASOdesk matrix"
